gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
G6pc3,1.05,3.3989999999999996,0.0,0.909,1.2690000000000001,0.0,5.0,0.0,1.08,0.8540000000000001,0.75
G6pd2,0.528,0.68,0.0,0.861,1.271,0.828,0.0,0.0,0.895,0.0,0.0
G6pdx,1.3780000000000001,4.261,4.328,4.454,1.851,1.7169999999999999,1.05,0.0,4.532,0.72,0.0
Gaa,2.204,2.48,2.068,2.142,1.9140000000000001,0.0,1.139,0.9740000000000001,1.8430000000000002,4.673,0.902
Gab1,1.584,1.959,1.565,3.228,1.1079999999999999,0.0,1.926,1.001,4.383,0.927,0.0
Gab2,1.158,4.323,1.22,3.2560000000000002,0.0,0.0,1.361,0.0,4.473,0.0,0.0
Gab3,0.0,1.0590000000000002,0.765,2.438,0.0,0.0,1.443,0.0,1.932,0.0,0.0
Gabarap,2.029,5.0,5.0,2.414,2.1630000000000003,1.683,5.0,1.983,4.408,5.0,5.0
Gabarapl1,1.506,4.334,3.6719999999999997,1.715,3.09,1.172,4.32,1.37,4.39,2.166,4.207
Gabarapl2,1.351,1.15,1.482,2.175,1.431,0.977,1.371,1.4880000000000002,4.2780000000000005,1.857,5.0
Gabbr1,4.321000000000001,5.0,1.391,1.472,4.1739999999999995,0.0,4.315,0.877,1.0090000000000001,0.872,0.7509999999999999
Gabbr2,1.6119999999999999,4.742,1.595,1.608,1.104,0.0,1.51,0.794,1.234,0.915,1.1320000000000001
Gabpa,0.9359999999999999,1.065,1.133,5.0,1.7469999999999999,0.561,0.612,0.0,0.825,0.0,0.0
Gabpb1,0.672,0.778,2.141,4.3580000000000005,1.474,0.7090000000000001,0.0,0.0,3.083,0.0,0.0
Gabpb2,0.0,0.0,0.545,4.173,0.66,0.568,0.0,0.0,2.7439999999999998,0.0,0.0
Gabra1,1.811,5.0,1.325,1.5619999999999998,1.6019999999999999,0.469,1.34,0.596,0.775,0.0,0.564
Gabra2,2.322,4.651,1.123,1.3130000000000002,1.091,0.281,0.6559999999999999,0.0,0.802,0.188,0.0
Gabra3,1.162,5.0,1.03,1.367,0.95,0.0,0.188,0.0,0.6829999999999999,0.0,0.094
Gabra4,1.33,5.0,1.0190000000000001,1.298,0.5820000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Gabra5,1.845,4.658,1.186,4.268,1.327,0.938,1.0270000000000001,0.0,4.169,0.0,0.0
Gabra6,2.3680000000000003,5.0,1.7480000000000002,1.589,0.977,0.0,1.295,0.6609999999999999,0.9540000000000001,0.603,0.599
Gabrb1,1.3619999999999999,4.6819999999999995,0.809,4.208,0.7040000000000001,0.375,0.375,0.0,0.0,0.0,0.0
Gabrb2,1.4880000000000002,5.0,1.105,1.143,1.042,0.75,0.8,0.0,4.164,0.736,0.188
Gabrb3,2.147,5.0,1.639,1.9280000000000002,1.5730000000000002,0.375,1.381,0.7240000000000001,1.618,1.2,0.873
Gabrd,1.9809999999999999,5.0,0.93,1.2690000000000001,0.6659999999999999,0.0,1.446,0.0,0.0,0.375,0.0
Gabre,1.621,3.576,1.9340000000000002,1.8119999999999998,1.518,0.0,1.891,1.057,2.1,0.987,1.483
Gabrg1,1.861,5.0,1.5090000000000001,1.834,1.485,0.0,0.9570000000000001,0.0,1.183,0.509,0.0
Gabrg2,2.338,4.766,1.91,2.06,1.547,0.0,1.6159999999999999,1.148,1.639,1.244,1.3119999999999998
Gabrg3,1.044,5.0,0.748,1.055,0.0,0.0,0.871,0.0,0.67,0.0,0.505
Gabrp,2.248,4.2780000000000005,0.807,0.767,0.0,0.375,0.0,0.0,0.0,0.0,0.0
Gabrq,1.754,5.0,0.612,0.76,0.527,0.469,0.0,0.0,0.188,0.0,0.0
Gabrr1,1.73,4.439,1.265,1.308,0.9990000000000001,0.0,0.971,0.0,1.085,0.0,0.0
Gabrr2,0.649,4.36,0.611,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrr3,0.0,2.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gad1,2.311,2.291,2.326,3.3110000000000004,4.361000000000001,0.0,1.375,0.883,3.3160000000000003,0.917,1.212
Gad2,2.267,3.8930000000000002,2.189,3.1060000000000003,2.23,0.0,1.527,1.209,4.627,1.236,3.525
Gadd45a,3.2889999999999997,2.012,2.105,5.0,2.262,1.2790000000000001,1.73,0.8370000000000001,2.352,1.391,0.981
Gadd45b,3.2769999999999997,1.6369999999999998,1.569,4.624,1.626,0.867,1.149,0.5760000000000001,1.475,0.8590000000000001,0.551
Gadd45g,2.761,1.524,1.5090000000000001,4.567,1.662,0.674,1.1740000000000002,0.7809999999999999,2.003,0.9179999999999999,0.0
Gadd45gip1,0.562,0.534,0.853,3.8680000000000003,4.566,1.016,0.502,0.0,1.876,0.0,0.0
Gadl1,1.5590000000000002,0.83,0.5820000000000001,1.496,1.2919999999999998,0.703,0.7040000000000001,0.0,2.5839999999999996,0.188,0.0
Gak,1.36,2.9389999999999996,1.485,1.4069999999999998,1.537,0.0,1.2309999999999999,1.564,3.937,1.4980000000000002,4.331
Gal,4.756,2.024,1.7469999999999999,2.36,1.5119999999999998,0.542,1.2990000000000002,1.036,1.475,0.978,4.206
