gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
ENSP00000485378,0.711,0.0,0.845,1.348,0.855,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485396,1.798,1.743,1.74,2.496,1.4040000000000001,0.0,0.89,0.868,1.391,0.8079999999999999,0.0
ENSP00000485405,0.469,0.0,0.0,1.641,0.0,0.387,0.0,0.0,1.594,0.0,0.0
ENSP00000485453,1.219,0.0,0.0,0.938,0.165,0.0,0.0,0.0,0.938,0.0,0.0
ENSP00000485463,1.406,0.0,0.0,0.9840000000000001,0.0,0.0,0.0,0.0,0.9840000000000001,0.0,0.0
ENSP00000485467,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485520,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485567,1.011,0.968,1.2790000000000001,1.369,1.26,0.0,4.2330000000000005,0.0,5.0,0.0,0.665
ENSP00000485589,1.147,1.463,1.419,1.58,1.775,0.8540000000000001,1.659,1.9180000000000001,1.443,2.5610000000000004,1.379
ENSP00000485635,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485638,0.0,0.0,0.0,0.647,0.7440000000000001,1.137,0.0,0.0,0.0,0.0,0.0
ENTHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6919999999999997,0.0,0.0
ENTHD2,0.516,1.093,0.52,4.131,1.002,0.0,0.0,1.1840000000000002,3.447,0.71,5.0
ENTPD1,4.598,4.66,2.803,2.077,1.791,1.1320000000000001,2.042,1.416,2.186,1.655,2.6210000000000004
ENTPD2,4.586,5.0,1.9280000000000002,1.485,1.7269999999999999,0.281,5.0,0.0,1.591,1.17,1.766
ENTPD3,2.093,4.663,0.754,0.9440000000000001,0.99,0.0,1.1179999999999999,0.0,1.09,0.0,2.289
ENTPD4,1.176,2.81,0.0,0.992,1.3780000000000001,0.0,1.626,0.0,1.182,1.235,5.0
ENTPD5,4.547,1.246,0.986,1.176,1.6219999999999999,0.792,4.459,0.657,2.668,1.162,1.344
ENTPD6,5.0,3.1180000000000003,0.0,0.0,0.623,0.289,1.301,0.0,0.991,0.596,5.0
ENTPD7,0.635,1.969,0.0,0.0,0.281,0.0,0.924,0.0,0.0,0.7959999999999999,0.0
ENTPD8,2.7460000000000004,4.553999999999999,0.917,2.146,1.15,0.562,1.515,0.0,2.4659999999999997,0.8340000000000001,1.54
ENY2,1.774,0.8240000000000001,1.2009999999999998,5.0,4.48,0.0,0.5920000000000001,0.0,1.973,0.0,0.0
EOGT,2.238,0.958,0.835,2.1719999999999997,1.043,0.0,3.949,0.0,2.112,0.0,1.344
EOMES,2.406,2.384,2.383,4.405,1.61,0.0,1.2919999999999998,1.083,2.7110000000000003,1.338,1.186
EP300,2.434,2.4859999999999998,2.425,5.0,2.35,1.6640000000000001,1.9480000000000002,1.515,4.656000000000001,1.7069999999999999,1.3719999999999999
EP400,0.84,1.374,1.367,5.0,0.794,0.281,0.281,0.0,1.466,0.0,0.0
EP400NL,0.281,0.0,0.0,1.6880000000000002,0.5760000000000001,0.0,0.0,0.0,1.359,0.0,0.0
EPAS1,2.032,1.829,1.8019999999999998,4.769,2.081,1.227,1.3619999999999999,0.992,4.627,1.294,0.703
EPB41,4.385,4.683,5.0,4.5969999999999995,1.276,0.0,1.531,1.228,4.71,1.194,2.349
EPB41L1,1.204,4.375,5.0,2.289,0.639,0.0,1.32,0.935,4.644,0.623,1.16
EPB41L2,4.206,4.654,4.373,4.65,0.0,0.0,0.9690000000000001,0.557,4.553,0.508,0.0
EPB41L3,1.925,4.6930000000000005,3.861,2.121,1.764,0.0,1.0,0.665,4.6080000000000005,0.0,0.907
EPB41L4A,0.706,1.197,3.498,2.492,0.0,0.0,0.0,0.0,2.252,0.0,0.0
EPB41L4A-AS1,0.0,0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0
EPB41L4A-AS2,0.0,0.5589999999999999,0.0,0.5870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41L4B,0.835,4.46,3.5860000000000003,2.066,1.125,0.0,0.0,0.0,4.67,0.0,0.0
EPB41L5,1.021,4.516,3.575,4.6080000000000005,0.9620000000000001,0.0,0.0,0.7979999999999999,4.706,0.0,0.0
EPB42,0.963,5.0,5.0,1.159,1.3359999999999999,0.5,0.797,0.0,3.327,0.0,0.0
EPC1,0.759,0.0,0.938,5.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0
EPC2,1.609,1.218,1.571,4.555,0.991,0.0,0.0,0.0,2.0069999999999997,0.528,0.0
EPCAM,4.796,5.0,2.862,3.545,1.891,0.54,1.817,2.001,2.133,1.867,1.31
EPDR1,4.1739999999999995,1.054,1.068,0.934,1.153,0.0,0.5670000000000001,0.0,1.083,3.4610000000000003,0.48
EPG5,0.621,2.969,1.054,3.383,1.317,0.0,1.236,1.7009999999999998,0.96,5.0,0.875
EPGN,4.657,4.386,1.494,2.8789999999999996,1.554,0.9209999999999999,1.3719999999999999,1.324,2.84,1.314,0.835
EPHA1,2.634,5.0,2.4419999999999997,2.162,1.6030000000000002,0.976,1.92,1.715,1.7590000000000001,1.514,1.52
EPHA10,4.0680000000000005,4.677,1.778,1.413,0.763,0.281,1.002,1.1340000000000001,1.224,0.853,0.0
EPHA2,2.459,5.0,2.369,2.306,1.66,0.469,1.864,1.994,1.913,1.785,1.166
EPHA3,3.8569999999999998,5.0,4.417,4.569,1.383,0.0,1.4609999999999999,5.0,4.532,1.265,2.29
EPHA4,2.298,4.758,2.346,2.136,2.911,0.469,2.9139999999999997,4.295,1.702,1.2919999999999998,2.7439999999999998
EPHA5,1.984,5.0,1.9380000000000002,2.379,1.9169999999999998,0.0,5.0,1.078,1.662,0.9109999999999999,0.795
EPHA6,1.829,4.453,1.7930000000000001,4.657,1.6,0.0,1.5119999999999998,0.938,1.453,0.7759999999999999,0.602
EPHA7,1.9469999999999998,4.7139999999999995,1.9780000000000002,1.828,1.0590000000000002,0.0,1.159,1.131,1.278,0.8809999999999999,0.726
EPHA8,2.3890000000000002,4.718,1.841,1.589,0.873,0.469,1.041,3.4760000000000004,1.2570000000000001,1.114,0.619
EPHB1,4.408,5.0,2.039,1.746,0.9279999999999999,0.0,4.227,5.0,4.237,0.9640000000000001,0.665
EPHB2,4.596,4.76,2.347,4.468999999999999,1.75,0.982,1.8159999999999998,1.661,4.386,1.429,1.237
EPHB3,4.561,5.0,2.006,1.88,1.032,0.188,1.2229999999999999,1.162,4.29,1.3630000000000002,0.846
EPHB4,4.585,5.0,2.065,1.963,1.215,0.42200000000000004,1.306,1.169,4.333,1.285,0.723
EPHB6,4.533,4.731,1.8880000000000001,1.5959999999999999,1.034,0.0,1.4909999999999999,1.056,4.2219999999999995,0.769,0.5710000000000001
EPHX1,2.15,1.7180000000000002,1.5730000000000002,2.052,1.807,1.8780000000000001,4.492,0.848,1.9140000000000001,1.6969999999999998,1.1640000000000001
EPHX2,4.46,2.121,1.672,2.136,1.881,5.0,2.602,0.925,5.0,1.375,0.93
EPHX3,1.256,1.405,1.085,1.244,2.02,0.532,3.31,0.0,1.285,0.0,0.8390000000000001
EPHX4,0.907,0.281,0.0,0.826,2.016,0.0,0.0,0.0,1.558,0.0,1.02
EPM2A,1.767,3.594,1.449,5.0,1.79,0.535,5.0,0.825,5.0,1.6130000000000002,0.0
EPM2AIP1,0.0,0.0,0.0,3.1919999999999997,0.281,0.0,2.4,0.0,1.453,0.0,0.0
EPN1,1.733,4.382,1.624,4.052,0.7929999999999999,0.0,1.202,2.077,4.783,1.7209999999999999,1.683
EPN2,0.7709999999999999,1.294,1.109,3.6,0.601,0.0,0.0,1.3619999999999999,4.595,0.619,2.229
EPN3,4.135,5.0,0.847,5.0,0.562,0.0,0.0,1.1179999999999999,2.682,0.5820000000000001,0.0
EPO,5.0,2.68,2.407,2.778,2.5580000000000003,1.391,2.039,1.675,3.6010000000000004,1.94,1.426
EPOR,4.188,5.0,1.875,4.458,1.86,0.23399999999999999,2.026,1.21,2.582,1.579,1.386
EPPIN,5.0,4.245,0.852,1.0390000000000001,0.504,0.0,0.0,0.0,0.0,0.0,0.0
EPPK1,1.379,3.588,5.0,5.0,1.382,0.375,0.0,0.0,2.779,0.0,0.0
EPRS,2.539,4.543,2.062,2.334,2.335,1.129,1.974,1.337,5.0,1.676,1.527
EPS15,1.76,5.0,2.176,3.3560000000000003,1.3869999999999998,0.616,1.6980000000000002,4.107,4.757,2.3169999999999997,2.0709999999999997
EPS15L1,0.9390000000000001,4.311,1.171,4.269,0.527,0.0,0.905,1.723,4.535,1.494,1.051
EPS8,4.338,4.396,2.3480000000000003,3.032,0.946,0.0,1.3359999999999999,1.525,3.47,1.207,2.873
EPS8L1,4.186,5.0,1.318,2.162,0.0,0.0,0.0,0.0,4.747,0.0,0.0
EPS8L2,4.176,5.0,1.5430000000000001,1.734,0.0,0.281,0.0,0.0,4.624,0.0,0.0
EPS8L3,0.5920000000000001,3.218,0.8909999999999999,2.5780000000000003,0.0,0.0,0.0,0.0,1.5,0.0,0.0
EPSTI1,1.348,2.245,0.518,2.133,1.555,0.0,0.0,0.0,2.478,0.569,0.0
EPT1,1.2930000000000001,3.1010000000000004,1.077,1.528,1.474,0.991,3.7880000000000003,0.594,1.288,0.0,3.495
EPX,4.583,1.879,1.36,1.715,1.376,0.0,2.059,0.879,1.5430000000000001,2.4219999999999997,0.736
EPYC,3.8939999999999997,1.291,0.8340000000000001,1.166,0.7709999999999999,0.0,2.439,0.0,0.742,0.0,0.8759999999999999
EQTN,0.598,3.802,0.795,0.9129999999999999,0.879,0.0,0.0,0.5660000000000001,0.0,0.0,0.0
ERAL1,1.222,1.011,2.62,1.7890000000000001,5.0,1.391,0.871,0.636,4.644,0.6970000000000001,0.0
ERAP1,5.0,3.069,1.176,2.679,1.117,0.141,5.0,1.5859999999999999,5.0,1.672,1.2329999999999999
ERAP2,1.538,1.4280000000000002,1.099,1.597,3.693,0.188,4.482,1.4069999999999998,1.9140000000000001,1.339,0.973
ERAS,2.654,3.6310000000000002,1.5230000000000001,1.867,1.281,0.0,1.079,0.7240000000000001,3.5380000000000003,0.841,1.135
ERBB2,3.773,5.0,3.1710000000000003,5.0,2.909,1.9240000000000002,2.431,5.0,4.739,2.8160000000000003,1.976
ERBB2IP,4.305,5.0,1.724,5.0,3.095,1.359,1.147,1.367,2.406,1.168,0.865
ERBB3,5.0,5.0,3.245,2.6830000000000003,1.95,1.194,2.084,2.012,2.4,2.106,1.406
